ticket_id,customer_id,segment,created_date,created_month,created_quarter,channel,category,priority,status,assigned_agent,resolution_hours,csat_score,region,industry
T00001,C0271,SMB,2024-10-16,2024-10,Q4 2024,Email,Data & Reporting,Medium,Resolved,Marcus Johnson,30.0,4.3,North America,Retail
T00002,C0069,Enterprise,2023-11-17,2023-11,Q4 2023,Phone,Data & Reporting,High,Resolved,David Kim,23.0,3.8,North America,Technology
T00003,C0276,Enterprise,2024-12-11,2024-12,Q4 2024,Chat,Product Education,Medium,In Progress,Sarah Chen,,,LATAM,Manufacturing
T00004,C0249,SMB,2023-05-20,2023-05,Q2 2023,Phone,Data & Reporting,Medium,Resolved,Sarah Chen,64.0,2.0,EMEA,Financial Services
T00005,C0113,SMB,2023-10-27,2023-10,Q4 2023,Phone,Billing & Payments,Medium,Resolved,Carlos Rivera,22.0,3.3,APAC,Media
T00006,C0278,Mid-Market,2023-02-12,2023-02,Q1 2023,Email,Performance & Stability,Low,Closed,Marcus Johnson,139.0,2.3,LATAM,Retail
T00007,C0225,Mid-Market,2023-05-01,2023-05,Q2 2023,Chat,Positive Feedback,Medium,Closed,Sarah Chen,25.0,3.9,APAC,Logistics
T00008,C0292,SMB,2023-12-26,2023-12,Q4 2023,Self-Service Portal,Performance & Stability,High,Resolved,Emma Thompson,20.0,5.0,APAC,Media
T00009,C0031,Mid-Market,2023-10-11,2023-10,Q4 2023,Email,Feature Request,High,Resolved,Aisha Williams,16.0,4.2,APAC,Education
T00010,C0213,Mid-Market,2024-01-20,2024-01,Q1 2024,Email,Performance & Stability,Low,Resolved,Sarah Chen,148.0,2.5,APAC,Logistics
T00011,C0048,SMB,2024-04-14,2024-04,Q2 2024,Phone,Feature Request,Low,Resolved,Aisha Williams,92.0,2.5,LATAM,Education
T00012,C0173,Startup,2024-07-14,2024-07,Q3 2024,Email,Performance & Stability,Medium,Resolved,Priya Patel,20.0,2.5,EMEA,Education
T00013,C0226,Enterprise,2024-04-12,2024-04,Q2 2024,Email,Billing & Payments,Medium,Resolved,Carlos Rivera,19.0,3.3,EMEA,Technology
T00014,C0085,SMB,2023-02-23,2023-02,Q1 2023,Email,Data & Reporting,Medium,Resolved,James O'Brien,35.0,1.7,LATAM,Media
T00015,C0266,Mid-Market,2024-11-27,2024-11,Q4 2024,Email,Access & Authentication,Medium,Closed,Marcus Johnson,17.0,3.6,LATAM,Logistics
T00016,C0053,SMB,2023-11-17,2023-11,Q4 2023,Phone,Data & Reporting,Medium,Closed,James O'Brien,9.0,3.8,EMEA,Technology
T00017,C0078,Mid-Market,2024-02-26,2024-02,Q1 2024,Self-Service Portal,Integration & API,High,In Progress,Emma Thompson,,,APAC,Logistics
T00018,C0162,SMB,2023-05-24,2023-05,Q2 2023,Chat,Performance & Stability,High,Closed,James O'Brien,4.0,4.1,APAC,Retail
T00019,C0201,Enterprise,2023-10-30,2023-10,Q4 2023,Email,Positive Feedback,Low,Resolved,Sarah Chen,159.0,4.2,EMEA,Manufacturing
T00020,C0185,Mid-Market,2023-11-21,2023-11,Q4 2023,Chat,Security & Compliance,Medium,Resolved,James O'Brien,10.0,2.5,LATAM,Retail
T00021,C0021,Startup,2023-03-03,2023-03,Q1 2023,Phone,Data & Reporting,Low,Resolved,Marcus Johnson,95.0,1.8,North America,Education
T00022,C0262,Mid-Market,2023-07-28,2023-07,Q3 2023,Phone,Data & Reporting,Medium,Resolved,Marcus Johnson,63.0,1.7,APAC,Technology
T00023,C0223,SMB,2023-04-29,2023-04,Q2 2023,Phone,Performance & Stability,Medium,Closed,Carlos Rivera,25.0,2.0,LATAM,Technology
T00024,C0268,Enterprise,2024-06-13,2024-06,Q2 2024,Phone,Billing & Payments,High,Resolved,Marcus Johnson,4.0,3.3,EMEA,Healthcare
T00025,C0135,Startup,2024-12-30,2024-12,Q4 2024,Chat,Access & Authentication,Medium,Resolved,Marcus Johnson,28.0,3.8,LATAM,Technology
T00026,C0117,SMB,2024-06-05,2024-06,Q2 2024,Email,Security & Compliance,Critical,Resolved,Emma Thompson,3.0,4.9,APAC,Healthcare
T00027,C0115,SMB,2023-11-26,2023-11,Q4 2023,Phone,User Management,Medium,Resolved,Sarah Chen,14.0,3.2,LATAM,Financial Services
T00028,C0206,SMB,2023-03-12,2023-03,Q1 2023,Email,Data & Reporting,Low,Resolved,Aisha Williams,98.0,3.2,LATAM,Education
T00029,C0125,Mid-Market,2024-04-20,2024-04,Q2 2024,Phone,Product Education,Low,Closed,Carlos Rivera,128.0,1.6,APAC,Technology
T00030,C0005,SMB,2023-12-10,2023-12,Q4 2023,Phone,Performance & Stability,Low,In Progress,Priya Patel,,,LATAM,Financial Services
T00031,C0144,SMB,2023-04-06,2023-04,Q2 2023,Chat,Billing & Payments,Low,Closed,Emma Thompson,153.0,1.9,North America,Healthcare
T00032,C0039,Mid-Market,2024-08-29,2024-08,Q3 2024,Email,Integration & API,Low,Resolved,James O'Brien,105.0,2.9,APAC,Financial Services
T00033,C0039,Mid-Market,2023-07-27,2023-07,Q3 2023,Email,Positive Feedback,High,Resolved,James O'Brien,17.0,3.6,APAC,Financial Services
T00034,C0232,SMB,2023-11-12,2023-11,Q4 2023,Phone,Security & Compliance,High,Resolved,James O'Brien,10.0,2.8,EMEA,Manufacturing
T00035,C0183,SMB,2024-02-10,2024-02,Q1 2024,Self-Service Portal,Feature Request,Medium,Open,David Kim,,,APAC,Logistics
T00036,C0053,SMB,2023-05-24,2023-05,Q2 2023,Email,Access & Authentication,Low,In Progress,Marcus Johnson,,,EMEA,Technology
T00037,C0012,Enterprise,2023-03-08,2023-03,Q1 2023,Email,Performance & Stability,Low,Closed,Emma Thompson,142.0,1.7,North America,Financial Services
T00038,C0203,Enterprise,2024-05-23,2024-05,Q2 2024,Email,Feature Request,High,In Progress,James O'Brien,,,EMEA,Manufacturing
T00039,C0152,SMB,2024-05-25,2024-05,Q2 2024,Email,Performance & Stability,High,In Progress,Sarah Chen,,,APAC,Media
T00040,C0196,SMB,2024-12-31,2024-12,Q4 2024,Self-Service Portal,Performance & Stability,Medium,Resolved,James O'Brien,31.0,2.5,North America,Technology
T00041,C0016,SMB,2023-10-15,2023-10,Q4 2023,Phone,Product Education,Medium,Closed,Sarah Chen,39.0,2.3,APAC,Financial Services
T00042,C0113,SMB,2024-08-12,2024-08,Q3 2024,Email,User Management,Low,In Progress,Priya Patel,,,APAC,Media
T00043,C0289,SMB,2023-07-12,2023-07,Q3 2023,Email,Data & Reporting,Medium,In Progress,Carlos Rivera,,,LATAM,Healthcare
