customer_id,company_name,segment,industry,region,join_date,mrr,health_score,num_users,renewal_date,csm_assigned
C0001,Company 0001,SMB,Financial Services,APAC,2021-05-16,954,46,44,2022-05-16,Marcus Johnson
C0002,Company 0002,SMB,Financial Services,North America,2020-07-10,717,78,2,2021-07-10,James O'Brien
C0003,Company 0003,SMB,Media,EMEA,2022-07-08,206,88,11,2023-07-08,Emma Thompson
C0004,Company 0004,Mid-Market,Retail,EMEA,2021-11-20,2556,51,23,2022-11-20,Carlos Rivera
C0005,Company 0005,SMB,Financial Services,LATAM,2023-01-03,587,45,36,2024-01-03,Aisha Williams
C0006,Company 0006,Startup,Education,EMEA,2020-05-22,166,84,19,2021-05-22,Marcus Johnson
C0007,Company 0007,Startup,Healthcare,LATAM,2021-07-23,477,58,11,2022-07-23,Carlos Rivera
C0008,Company 0008,Mid-Market,Manufacturing,North America,2023-06-01,3187,91,16,2024-05-31,Priya Patel
C0009,Company 0009,SMB,Manufacturing,EMEA,2021-10-26,232,60,26,2022-10-26,Aisha Williams
C0010,Company 0010,Enterprise,Education,EMEA,2022-10-19,20035,59,140,2023-10-19,Priya Patel
C0011,Company 0011,Mid-Market,Manufacturing,LATAM,2023-04-10,1898,53,33,2024-04-09,David Kim
C0012,Company 0012,Enterprise,Financial Services,North America,2020-11-09,18833,88,37,2021-11-09,Emma Thompson
C0013,Company 0013,Mid-Market,Logistics,APAC,2023-02-07,3952,52,44,2024-02-07,Aisha Williams
C0014,Company 0014,SMB,Education,North America,2021-08-24,664,40,47,2022-08-24,Aisha Williams
C0015,Company 0015,Startup,Retail,North America,2021-09-03,361,47,10,2022-09-03,Carlos Rivera
C0016,Company 0016,SMB,Financial Services,APAC,2022-09-27,571,59,16,2023-09-27,Sarah Chen
C0017,Company 0017,Mid-Market,Healthcare,North America,2022-09-22,3181,94,9,2023-09-22,Priya Patel
C0018,Company 0018,SMB,Retail,APAC,2022-12-16,416,74,49,2023-12-16,James O'Brien
C0019,Company 0019,SMB,Media,APAC,2022-06-16,323,55,15,2023-06-16,Marcus Johnson
C0020,Company 0020,Mid-Market,Technology,EMEA,2020-01-15,3584,48,15,2021-01-14,Marcus Johnson
C0021,Company 0021,Startup,Education,North America,2022-11-18,392,66,14,2023-11-18,Priya Patel
C0022,Company 0022,SMB,Logistics,EMEA,2022-08-26,296,46,43,2023-08-26,Emma Thompson
C0023,Company 0023,Mid-Market,Media,LATAM,2020-04-20,3646,51,4,2021-04-20,Emma Thompson
C0024,Company 0024,SMB,Healthcare,EMEA,2021-01-27,659,48,28,2022-01-27,Priya Patel
